0.10;50.000000;0.64;9
0.10;40.000000;0.66;9
0.10;30.000000;0.80;9
0.10;20.000000;0.82;8
0.10;10.000000;0.66;7
0.10;9.000000;0.67;7
0.10;8.000000;0.68;7
0.10;7.000000;0.68;7
0.10;6.000000;0.65;6
0.10;5.000000;0.66;6
0.10;4.000000;0.80;6
0.10;3.000000;0.83;5
0.10;2.000000;0.80;5
0.10;1.000000;0.80;4
0.010;50.000000;0.733;13
0.010;40.000000;0.729;12
0.010;30.000000;0.746;12
0.010;20.000000;0.749;11
0.010;10.000000;0.729;10
0.010;9.000000;0.730;10
0.010;8.000000;0.731;10
0.010;7.000000;0.732;10
0.010;6.000000;0.733;10
0.010;5.000000;0.729;9
0.010;4.000000;0.747;9
0.010;3.000000;0.745;9
0.010;2.000000;0.747;8
0.010;1.000000;0.747;7
0.0010;50.000000;0.7383;16
0.0010;40.000000;0.7385;16
0.0010;30.000000;0.7400;15
0.0010;20.000000;0.7397;15
0.0010;10.000000;0.7385;14
0.0010;9.000000;0.7385;14
0.0010;8.000000;0.7381;13
0.0010;7.000000;0.7382;13
0.0010;6.000000;0.7384;13
0.0010;5.000000;0.7385;13
0.0010;4.000000;0.7401;12
0.0010;3.000000;0.7398;12
0.0010;2.000000;0.7401;11
0.0010;1.000000;0.7401;10
0.00010;50.000000;0.73899;19
0.00010;40.000000;0.73901;19
0.00010;30.000000;0.73914;19
0.00010;20.000000;0.73916;18
0.00010;10.000000;0.73901;17
0.00010;9.000000;0.73902;17
0.00010;8.000000;0.73902;17
0.00010;7.000000;0.73903;17
0.00010;6.000000;0.73899;16
0.00010;5.000000;0.73901;16
0.00010;4.000000;0.73915;16
0.00010;3.000000;0.73918;15
0.00010;2.000000;0.73915;15
0.00010;1.000000;0.73915;14
0.000010;50.000000;0.739080;23
0.000010;40.000000;0.739077;22
0.000010;30.000000;0.739091;22
0.000010;20.000000;0.739094;21
0.000010;10.000000;0.739076;20
0.000010;9.000000;0.739077;20
0.000010;8.000000;0.739078;20
0.000010;7.000000;0.739079;20
0.000010;6.000000;0.739079;20
0.000010;5.000000;0.739076;19
0.000010;4.000000;0.739093;19
0.000010;3.000000;0.739091;19
0.000010;2.000000;0.739093;18
0.000010;1.000000;0.739093;17
0.0000010;50.000000;0.7390854;26
0.0000010;40.000000;0.7390856;26
0.0000010;30.000000;0.7390851;25
0.0000010;20.000000;0.7390848;25
0.0000010;10.000000;0.7390846;24
0.0000010;9.000000;0.7390847;24
0.0000010;8.000000;0.7390842;23
0.0000010;7.000000;0.7390844;23
0.0000010;6.000000;0.7390845;23
0.0000010;5.000000;0.7390846;23
0.0000010;4.000000;0.7390860;22
0.0000010;3.000000;0.7390857;22
0.0000010;2.000000;0.7390859;21
0.0000010;1.000000;0.7390859;20
